Company Name,Cocode,Domicile,Business Type,Year,Premiums,Payments,Members,Member Months,Loss Ratio,Average Amount of Premiums per Member per Month,Previous Year Average Amount of Premiums per Member per Month,Percentage Change in Average Premium per Member per Month from Previous Year,Premium_bin
4 Ever Life Insurance Company,80985,IL,L,2016,1363989,1363989,630789,7319891,1,0.19,0.18,0.02,Medium
4 Ever Life Insurance Company,80985,IL,L,2015,1240092,1240092,556973,6755924,1,0.18,,,Medium
ACE AMERICAN INSURANCE COMPANY,22667,PA,P,2016,67989157,40895063,417063,3895000,0.6,17.46,17.29,0.01,High
ACE AMERICAN INSURANCE COMPANY,22667,PA,P,2015,66868778,30410116,407257,3866500,0.46,17.29,,,High
AETNA LIFE INSURANCE COMPANY,60054,CT,L,2015,1621956792,1243379723,3675656,44447752,0.77,36.49,,,High
AETNA LIFE INSURANCE COMPANY,60054,CT,L,2016,973915803,896012614,4252720,50996560,0.92,19.1,36.49,-0.48,High
American Family Life Assurance Company of Columbus (AFLAC),60380,NE,L,2015,170063010,70892379,536658,6060104,0.42,28.06,,,High
American Family Life Assurance Company of Columbus (AFLAC),60380,NE,L,2016,166559889,71478889,529049,5897674,0.43,28.24,28.06,0.01,High
American Fidelity Assurance Company,60410,OK,L,2015,131259,32489,399,6097,0.25,21.53,,,Low
American Fidelity Assurance Company,60410,OK,L,2016,62714,5185,211,3566,0.08,17.59,21.53,-0.18,Low
American General Life Insurance Company,60488,TX,L,2015,10618285,5338377,28124,337488,0.5,31.46,,,High
American General Life Insurance Company,60488,TX,L,2016,1032064,1187853,931,11172,1.15,92.38,31.46,1.94,Medium
American Heritage Life Insurance Company,60534,FL,L,2015,1243838,485505,18670,288258,0.39,4.32,,,Medium
American Heritage Life Insurance Company,60534,FL,L,2016,730291,332111,18150,220920,0.45,3.31,4.32,-0.23,Low
American National Life Insurance Company of Texas,71773,TX,L,2016,13457504,7647328,50532,574199,0.57,23.44,24.03,-0.03,High
American National Life Insurance Company of Texas,71773,TX,L,2015,12225412,7064993,44056,508788,0.58,24.03,,,High
AMERICAN PUBLIC LIFE INS CO,60801,OK,L,2015,2705445,1479865,10978,39627,0.55,68.27,,,Medium
AMERICAN PUBLIC LIFE INS CO,60801,OK,L,2016,2620232,1447809,10855,73806,0.55,35.5,68.27,-0.48,Medium
AMERICAN REPUBLIC INSURANCE COMPANY,60836,IA,L,2015,4478874,3122295,6785,79681,0.7,56.21,,,Medium
AMERICAN REPUBLIC INSURANCE COMPANY,60836,IA,L,2016,3919472,3108940,6034,74120,0.79,52.88,56.21,-0.06,Medium
Ameritas Life Insurance Corp.,61301,NE,L,2016,595103675,401113858,913591,10963092,0.67,54.28,53.18,0.02,High
Ameritas Life Insurance Corp.,61301,NE,L,2015,519040364,355590992,813328,9759936,0.69,53.18,,,High
ASSURITY LIFE INSURANCE COMPANY,71439,NE,L,2016,1296510,978781,3856,46884,0.75,27.65,26.06,0.06,Medium
ASSURITY LIFE INSURANCE COMPANY,71439,NE,L,2015,1213428,946260,3958,46566,0.78,26.06,,,Medium
ASURIS NORTHWEST HEALTH,47350,WA,X,2015,683713,476877,1569,18912,0.7,36.15,,,Low
ASURIS NORTHWEST HEALTH,47350,WA,X,2016,476393,322723,911,12656,0.68,37.64,36.15,0.04,Low
AXA Equitable Life Insurance Company,62944,NY,L,2016,100200,96707,380,2280,0.97,43.95,,,Low
AXIS Insurance Company,37273,IL,P,2016,401527,372336,2082,25701,0.93,15.62,16.25,-0.04,Low
AXIS Insurance Company,37273,IL,P,2015,318675,157864,1655,19614,0.5,16.25,,,Low
BCS Insurance Company,38245,OH,P,2015,13554046,2044408,60443,384432,0.15,35.26,,,High
BCS Insurance Company,38245,OH,P,2016,12058477,1588422,53462,290586,0.13,41.5,35.26,0.18,High
Best Life and Health Insurance Company,90638,TX,L,2015,33856462,20365745,72356,868272,0.6,38.99,,,High
Best Life and Health Insurance Company,90638,TX,L,2016,31998694,19616895,85682,1028184,0.61,31.12,38.99,-0.2,High
Boston Mutual Life Insurance Company,61476,MA,L,2015,124432,75395,1139,13668,0.61,9.1,,,Low
Boston Mutual Life Insurance Company,61476,MA,L,2016,123940,77952,1189,13971,0.63,8.87,9.1,-0.03,Low
Central United Life Insurance Company,61883,AR,L,2016,6449541,1869402,24502,176854,0.29,36.47,24.48,0.49,Medium
Central United Life Insurance Company,61883,AR,L,2015,1260136,279789,9017,51475,0.22,24.48,,,Medium
CIGNA HEALTH AND LIFE INSURANCE COMPANY,67369,CT,L,2016,1373383402,1085499924,3915510,45159173,0.79,30.41,29.78,0.02,High
CIGNA HEALTH AND LIFE INSURANCE COMPANY,67369,CT,L,2015,1163696257,963362269,3368236,39075149,0.83,29.78,,,High
COLONIAL LIFE & ACCIDENT INSURANCE COMPANY,62049,SC,L,2016,2866010,1180519,7342,58080,0.41,49.35,30.66,0.61,Medium
COLONIAL LIFE & ACCIDENT INSURANCE COMPANY,62049,SC,L,2015,430066,237461,2338,14028,0.55,30.66,,,Low
Colorado Bankers Life Insurance Company,84786,NC,L,2015,343423,121250,794,9528,0.35,36.04,,,Low
Colorado Bankers Life Insurance Company,84786,NC,L,2016,220551,50281,695,8340,0.23,26.44,36.04,-0.27,Low
Companion Life Insurance Company,77828,SC,L,2016,98537642,63228742,273984,3459461,0.64,28.48,28.96,-0.02,High
Companion Life Insurance Company,77828,SC,L,2015,97936968,62425974,288287,3382266,0.64,28.96,,,High
CONNECTICUT GENERAL LIFE INSURANCE COMPANY,62308,CT,L,2015,18827719,13061056,44575,632004,0.69,29.79,,,High
CONNECTICUT GENERAL LIFE INSURANCE COMPANY,62308,CT,L,2016,15532724,10019403,46569,465486,0.65,33.37,29.79,0.12,High
CONSTITUTION LIFE INSURANCE COMPANY,62359,TX,L,2015,646253,301866,1791,23358,0.47,27.67,,,Low
CONSTITUTION LIFE INSURANCE COMPANY,62359,TX,L,2016,124119,51738,399,4986,0.42,24.89,27.67,-0.1,Low
Continental American Insurance Company,71730,NE,L,2016,909877,163829,3513,40226,0.18,22.62,22.7,0,Low
Continental American Insurance Company,71730,NE,L,2015,849797,98271,3290,37440,0.12,22.7,,,Low
CONTINENTAL GENERAL INSURANCE COMPANY,71404,TX,L,2015,675167,428899,1929,24220,0.64,27.88,,,Low
CONTINENTAL GENERAL INSURANCE COMPANY,71404,TX,L,2016,617918,399002,1755,22202,0.65,27.83,27.88,0,Low
DEARBORN NATIONAL  LIFE INSURANCE COMPANY,71129,IL,L,2015,26010136,16527256,107533,1290396,0.64,20.16,,,High
DEARBORN NATIONAL  LIFE INSURANCE COMPANY,71129,IL,L,2016,19819550,12293317,85919,1031028,0.62,19.22,20.16,-0.05,High
